Adjective,Language,masculine_similarity,feminine_similarity,exclusive_masculine_similarity,exclusive_feminine_similarity,neuter_similarity,depersonalized_masculine_similarity,depersonalized_feminine_similarity,masculine_score,feminine_score,Definition
sentimentalisch,German,0.3528497138196156,0.2450232299570977,0.0,0.0,0.2242547109531871,0.2451555218324995,0.2344783112582333,0.3528497138196156,0.2450232299570977,"sentimental , emotional"
transident,German,0.3529324720490347,0.3634900848295311,0.0,0.0,0.3199122453641052,0.332820367628473,0.3488554138473024,0.3529324720490347,0.3634900848295311,"identifying as trans Coordinate terms: transgender , transgeschlechtlich , transsexuell 2014 , Udo Rauchfleisch, Anne wird Tom—Klaus wird Lara: Transidentität / Transsexualität verstehen ‎ [1] , Patmos Verlag, →ISBN : Manfred Schuster, ein 45-jähriger Verkäufer, hatte seiner Frau (42 Jahre,  Büroangestellte) vor zwei Jahren eröffnet, dass er transident sei"
alleinerziehend,German,0.353194902417086,0.3388063519173663,0.0,0.0,0.1635184675617709,0.1422785204565945,0.1800402997663828,0.353194902417086,0.3388063519173663,"(having the status of a) single parent ; single (mother/father) 2015 , Tim Krohn, Nachts in Vals : Lise Lavoisier war früh Mutter geworden, sie war alleinerziehend und gönnte sich nicht viel"
ledig,German,0.3534842616503477,0.3366387756576873,0.0,0.0,0.1858777824807355,0.1793067860948101,0.1566998602520626,0.3534842616503477,0.3366387756576873,"unoccupied Der er ingen ledige båse, så i stedet må vi lave lort i vaskene"
beinamputiert,German,0.3543624534541834,0.2510028381181536,0.0,0.0,0.1832599996643296,0.0992640559129163,0.1548181609419576,0.3543624534541834,0.2510028381181536,having lost a leg due to an amputation
besoffen,German,0.3552626189690345,0.2090981556933948,0.0,0.0,0.1568167781835391,0.1121146153999348,0.2218180256507759,0.3552626189690345,0.2090981556933948,"drunk Synonyms: betrunken , blau , hackedicht"
homonom,German,0.3564737090386199,0.2499499798859644,0.0,0.0,0.3214785165159491,0.2265431276305233,0.2527278955975409,0.3564737090386199,0.2499499798859644,"homonomic , homonomous"
homosexuell,German,0.357333540210727,0.2680591188019019,0.0,0.0,0.2332334959923016,0.252434639445119,0.3311076250427487,0.357333540210727,0.2680591188019019,"homosexual 1918 , Heinrich Mann , Der Untertan ‎ [1] , Leipzig: Kurt Wolff Verlag, page 49 : Einer, ein Schauspieler mit einem Gesicht, als sei ihm alles eins, kehrte um, stellte sich nochmals vor den Stabsarzt hin und sagte laut, mit sorgfältiger Aussprache: „Ich möchte noch hinzufügen, daß ich homosexuell bin"
kontraktlich,German,0.3574837568301536,0.1826506390194753,0.0,0.0,0.3129127364590603,0.1795348407972705,0.1739576214291072,0.3574837568301536,0.1826506390194753,"( uncommon ) Synonym of vertraglich ; contractual 1894 , Karl Marx , edited by Friedrich Engels , Das Kapital [ … ] , III: Der Gesammtprocess der kapitalistischen Produktion, Hamburg: Otto Meissner, page 157 : Dieser Pächter-Kapitalist zahlt dem Grundeigenthümer, dem Eigenthümer des von ihm exploitirten Bodens in bestimmten Terminen, z"
jung,German,0.3575421237937362,0.2568082692806041,0.0,0.0,0.1903243957071718,0.2032831338031765,0.1934418131133236,0.3575421237937362,0.2568082692806041,( Carcoforo ) young
fluchtverdächtig,German,0.3578108221240517,0.266113025295781,0.0,0.0,0.1809712242320619,0.121441039744402,0.1350930548982251,0.3578108221240517,0.266113025295781,suspected of planning to escape
feinpulvrig,German,0.3578502454295336,0.228426789079738,0.0,0.0,0.1151109504536824,0.2103676231878556,0.1730517373543637,0.3578502454295336,0.228426789079738,finely - powdered
ausländerfrei,German,0.3581807536139088,0.2480967452999598,0.0,0.0,0.2169378650317617,0.1905180610783006,0.1689078551774232,0.3581807536139088,0.2480967452999598,free of foreigners
tot,German,0.3586947093206076,0.2435398850242086,0.0,0.0,0.1396106448783144,0.0992343513434121,0.1547729609811554,0.3586947093206076,0.2435398850242086,all Antonym: cap
hochtechnologisch,German,0.3591047501768126,0.2597460868935245,0.0,0.0,0.2551834509931763,0.1838667307991943,0.2195209819878595,0.3591047501768126,0.2597460868935245,high-tech
katexochen,German,0.3602763824637862,0.3991561494061506,0.0,0.0,0.1845649671941542,0.281467488085535,0.2700886991809732,0.3602763824637862,0.3991561494061506,"( usually postpositive ) preeminent , archetypal Synonym: schlechthin 1952 , Alfred Einstein , Schubert"
befotzt,German,0.3603210407270671,0.2522540991811216,0.0,0.0,0.1908283189832678,0.2203957078071289,0.2640011631080306,0.3603210407270671,0.2522540991811216,sloppy
schnurrbärtig,German,0.360562397000627,0.250450913077677,0.0,0.0,0.1615888436596142,0.165464457020724,0.2390975554009967,0.360562397000627,0.250450913077677,mustachioed
wonnetrunken,German,0.3613535554387181,0.2135923444295479,0.0,0.0,0.2999072912739602,0.269191376875436,0.2778164852346698,0.3613535554387181,0.2135923444295479,blissful
gutsitzend,German,0.3614945204021246,0.2680211282246413,0.0,0.0,0.2342057512943397,0.1765652730074484,0.2009549775153897,0.3614945204021246,0.2680211282246413,"snug , well-fitting"
dahergelaufen,German,0.3615772275601733,0.2448209853283697,0.0,0.0,0.2268361005470915,0.0925827018753451,0.1253633927487628,0.3615772275601733,0.2448209853283697,"( often with irgendein or jeder ) random ; with the notion of all and sundry ; Tom, Dick and Harry"
lebensmüde,German,0.361626250685584,0.2396949455715723,0.0,0.0,0.1725483021557022,0.1502153264924167,0.2157095398336972,0.361626250685584,0.2396949455715723,weary of life
promigeil,German,0.362093893182082,0.2779937371957467,0.0,0.0,0.1848450468070371,0.1792626538575953,0.2123286143791488,0.362093893182082,0.2779937371957467,starstruck
