Group,translation,en,es,de
Spanish Masculine,barn,barn,granero,Scheune
German Masculine,rain,rain,lluvia,Regen
Spanish Masculine,bridge,bridge,puente,Brücke
German Masculine,key,key,llave,Schlüssel
Spanish Masculine,sock,sock,calcetín,Socke
German Masculine,fish,fish,pez,Fisch
Spanish Masculine,fork,fork,tenedor,Gabel
German Masculine,butterfly,butterfly,mariposa,Schmetterling
Spanish Masculine,drum,drum,tambor,Trommel
German Masculine,pajamas,pajamas,pijama,Schlafanzug
Spanish Masculine,couch,couch,sofá,Couch
German Masculine,sand,sand,arena,Sand
Spanish Masculine,ceiling,ceiling,techo,Decke
German Masculine,box,box,caja,Kasten
Spanish Masculine,mattress,mattress,colchón,Matratze
German Masculine,head,head,cabeza,Kopf
Spanish Masculine,seesaw,seesaw,balancín,Wippe
German Masculine,stove,stove,cocina,Herd
Spanish Masculine,underpants,underpants,calzoncillos,Unterhose
German Masculine,belly,belly,barriga,Bauch
Spanish Masculine,cat,cat,gato,Katze
German Masculine,cage,cage,jaula,Käfig
Spanish Masculine,shoulder,shoulder,hombro,Schulter
German Masculine,chair,chair,silla,Stuhl
Spanish Masculine,clock,clock,reloj,Uhr
German Masculine,dirt,dirt,suciedad,Schmutz
Spanish Masculine,dresser,dresser,vestidor,Kommode
German Masculine,fingernail,fingernail,uña,Fingernagel
Spanish Masculine,necklace,necklace,collar,Halskette
German Masculine,wing,wing,ala,Flügel
Spanish Masculine,pants,pants,pantalones,Hose
German Masculine,moon,moon,luna,Mond
Spanish Masculine,mouse,mouse,ratón,Maus
German Masculine,star,star,estrella,Stern
Spanish Masculine,sun,sun,sol,Sonne
German Masculine,movie,movie,película,Film
